ad_id,ad_text,source_url,true_label,true_category
1,"Elon Musk reveals a new AI trading platform for Australians. Start with $250 and receive guaranteed daily profits. Limited spots available today.","https://example.com/meta-ad-001",scam,investment
2,"Get 25% off selected Nike running shoes this weekend only. Shop online or visit our Sydney store.","https://example.com/meta-ad-002",legitimate,N/A
3,"Your Facebook Business account has been restricted due to suspicious activity. Verify your identity now to avoid permanent suspension.","https://example.com/meta-ad-003",scam,phishing
4,"Join our free webinar on small business marketing strategies. Learn how to improve your online presence using Meta Ads.","https://example.com/meta-ad-004",legitimate,N/A
5,"Anthony Albanese confirms Australians can earn passive income using a government-backed crypto project. Register now before applications close.","https://example.com/meta-ad-005",scam,impersonation
6,"Book your next European holiday with flexible payment options and verified customer reviews.","https://example.com/meta-ad-006",legitimate,N/A
7,"Congratulations! You have been selected to receive a free iPhone 16. Pay only a small delivery fee to claim your prize.","https://example.com/meta-ad-007",scam,giveaway
8,"Try our new skincare range made with natural ingredients. Available now with free shipping on orders over $80.","https://example.com/meta-ad-008",legitimate,N/A
9,"Doctors are hiding this simple weight loss treatment. Lose 15kg in two weeks with no exercise required.","https://example.com/meta-ad-009",scam,health
10,"$100 sent today. Receive $2000 within 12 hours through your bank account. Message me for more information. I promise this is legit.","https://example.com/meta-ad-010",scam,investment
11,"Sydney Coffee Roasters - fresh single origin beans delivered to your door. Roasted weekly. Free shipping over $40.","https://example.com/meta-ad-011",legitimate,N/A
12,"WARNING: Your PayPal account will be suspended. Click below and confirm your details to restore access immediately.","https://example.com/meta-ad-012",scam,phishing
13,"Enroll now in our 10-week online coding bootcamp. Payment plans available. Graduates have joined Google, Atlassian and Canva.","https://example.com/meta-ad-013",legitimate,N/A
14,"I made $10,000 in my first week using this secret AI trading system. Learn how to build one in under 7 days. Link in bio.","https://example.com/meta-ad-014",scam,investment
15,"Adopt don't shop. Meet dogs and cats available for adoption at your local RSPCA this Saturday.","https://example.com/meta-ad-015",legitimate,N/A
16,"Celebrity surgeon reveals one weird trick to dissolve belly fat overnight. No diet, no gym. Click here before it gets banned.","https://example.com/meta-ad-016",scam,health
17,"New album out now. Stream or purchase from our official website. Limited edition vinyl available while stocks last.","https://example.com/meta-ad-017",legitimate,N/A
18,"Your Microsoft account has been compromised. Enter your credentials at the link below to secure your account immediately.","https://example.com/meta-ad-018",scam,phishing
19,"Support local. Our family-run bakery has been serving fresh sourdough in Newtown since 2005. Order online for next-day delivery.","https://example.com/meta-ad-019",legitimate,N/A
20,"My beloved, I am stranded abroad and need urgent help. Please send $500 and I will repay you double when I return. God bless you.","https://example.com/meta-ad-020",scam,impersonation
21,"Register for the 2025 Sydney Marathon. Early bird entries now open. All fitness levels welcome.","https://example.com/meta-ad-021",legitimate,N/A
22,"Crypto giveaway! Send 0.1 BTC to this wallet and receive 0.5 BTC back within 24 hours. Verified by Elon Musk.","https://example.com/meta-ad-022",scam,giveaway
23,"Our accountants specialise in small business tax returns. Book a free consultation this month.","https://example.com/meta-ad-023",legitimate,N/A
24,"URGENT: Your ATO tax refund of $2,847 is ready. Confirm your bank details here to receive your payment within 48 hours.","https://example.com/meta-ad-024",scam,phishing
25,"Handmade leather wallets crafted in Melbourne. Each piece is unique. Ships worldwide with tracked delivery.","https://example.com/meta-ad-025",legitimate,N/A
